CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 1905,13,      0, 5,2,1,      0,99,9,9,0,1,0,   40,   40,    0,  16942
 6088, 0,  87000,10,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  71624
 4198,13,    200, 7,1,5,      0,99,9,9,0,0,0,    0,    0,    0,   3980
 6089, 0,      0,14,2,2,      0,99,9,9,0,0,0,    0,    0,    0, 170233
 4705,13,  33000, 9,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  40648
 3198,13,      0,14,1,1,      0,14,2,5,0,0,0,    0,    0,    0,  22233
 3738,13,  30000, 9,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  56385
 4087,13,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  23766
 3380,13,   2000, 7,1,7,    500, 7,2,7,0,0,0,    0,    0,    0,  50398
 5066,13,  13000, 1,1,7,  17000, 1,2,7,0,0,2,    0,    0,    0,  73262
 3199,13,      0,10,1,3,      0,10,2,3,0,0,0,    0,    0,    0,  57608
 3847,13,   5100, 4,2,2,  48000, 4,1,6,0,2,1, 8220,  800, 7420, 162326
 4030,13,  71000, 6,2,5,  88000, 5,1,5,0,2,1, 4617,  750, 2741, 145285
 5965, 0,  20000, 5,2,5, 700000, 6,1,2,0,3,0, 1000,  200,    0,1497447
 4088,13,      0,13,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  19170
 2859,13,  12000, 4,2,7, 100000, 5,1,5,2,1,0,    0,    0,    0, 142916
 4089,13,      0,10,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  19465
 1145,13,      0, 6,1,8,      0,99,9,9,0,1,0,    0,    0,    0,  37605
 5083,13,  28000, 2,2,5,  30000, 2,1,2,0,0,0,  580,  280,  300,  63022
 4340,13,   4000, 9,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  17065
 3454,13,   1500, 1,1,2,      0,99,9,9,0,0,2, 4600,  600, 4000,  37780
 4535,13,  32000, 7,1,3,  35000, 5,2,3,0,0,0,    0,    0,    0,  65271
 4090,13,      0,14,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  18656
 4806,13,      0, 3,1,1,      0,99,9,9,0,0,1, 1400,  700,  700,  86251
 3623,13,      0, 8,1,8,      0, 9,2,5,0,0,0,  180,    0,    0,  45978
 4006,13,  29000, 6,2,1,  30000, 6,1,2,0,0,0,    0,    0,    0,  40212
 2193,13,  29000, 2,2,7,  48000, 3,1,5,2,0,0,    0,    0,    0,  89619
 7260, 0,      0,10,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  57391
 3344,13,   8000, 8,1,5,      0, 7,2,2,0,0,0,    0,    0,    0,  57119
 2675,13,  19000, 4,2,2,      0,99,9,9,0,1,1,  110,   50,   60,  29005
 2937,13, 150000, 5,1,8,  36000, 5,2,7,1,1,0,26140, 3000,23100, 175533
 3959,13,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  25892
 6344, 0,  85000, 6,1,2,  48000, 6,2,2,0,1,1,    0,    0,    0, 105461
 4059,13,  65000, 4,2,5,  75000, 4,1,7,0,0,0,    0,    0,    0,  91690
 1860,13,   9200, 7,2,6,  82000, 8,1,6,0,2,0,18000,    0,16000, 103049
 3960,13,      0,11,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  54557
 1779,13,  74000, 7,1,7,      0, 6,2,5,0,2,0,  460,   70,   70, 102786
 2885,13,  24000, 5,1,2,  22000, 5,2,3,0,1,0,   83,   48,   35,  51942
 3232,13,      0,10,1,6,      0, 8,2,2,0,0,0,    0,    0,    0, 106993
 3055,13,      0,12,1,8,      0,11,2,2,0,0,0,    0,    0,    0,  50213
 3071,13,  88000, 6,2,8, 100000, 7,1,8,0,2,0, 1675,  175,    0, 201690
 3056,13,      0,12,1,7,      0,12,2,6,0,0,0,    0,    0,    0, 137047
 3010,13, 120000, 9,1,8,  59000, 8,2,7,0,0,0,  120,    0,    0, 225992
 2610,13,  82000, 6,2,7,  80000, 6,1,7,0,0,0,  360,    0,    0, 137233
 4576,13,  24000, 9,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  95757
 4577,13,  30000, 8,2,7,      0,99,9,9,0,0,0, 1200,    0, 1200,  66908
 4105,13,   8300, 9,2,6,      0, 9,1,2,0,0,0,    0,    0,    0,  50388
 3072,13,      0, 7,2,2,  85000, 8,1,1,0,0,0,    0,    0,    0,  52782
 4569,13,   4000,10,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  12832
 4293,13,  83000, 7,2,5, 100000, 7,1,2,0,0,0,    0,    0,    0, 154669
 4168,13,   8800, 7,2,3,  45000, 8,1,3,0,0,0,    0,    0,    0,  43689
